period,data_item,value,category,unit
annual,unnamed:_9,,cop_state,
annual,unnamed:_9,,cop_state,
annual,unnamed:_9,,cop_state,
annual,unnamed:_9,,cop_state,
annual,unnamed:_9,,cop_state,
annual,unnamed:_9,,cop_state,
annual,unnamed:_9,,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,Michigan,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,15.67,cop_state,
annual,unnamed:_10,1.56,cop_state,
annual,unnamed:_10,0.48,cop_state,
annual,unnamed:_10,17.71,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,3.98,cop_state,
annual,unnamed:_10,3.67,cop_state,
annual,unnamed:_10,0.04,cop_state,
annual,unnamed:_10,7.69,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,0.93,cop_state,
annual,unnamed:_10,0.22,cop_state,
annual,unnamed:_10,0.21,cop_state,
annual,unnamed:_10,0.44,cop_state,
annual,unnamed:_10,0.62,cop_state,
annual,unnamed:_10,0.71,cop_state,
annual,unnamed:_10,0,cop_state,
annual,unnamed:_10,0.18,cop_state,
annual,unnamed:_10,11,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,1.55,cop_state,
annual,unnamed:_10,1.98,cop_state,
annual,unnamed:_10,3.12,cop_state,
annual,unnamed:_10,0.03,cop_state,
annual,unnamed:_10,0.22,cop_state,
annual,unnamed:_10,0.8,cop_state,
annual,unnamed:_10,7.7,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,18.7,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,-0.9899999999999984,cop_state,
annual,unnamed:_10,6.710000000000001,cop_state,
annual,unnamed:_10,       ,cop_state,
annual,unnamed:_10,       ,cop_state,
annual,unnamed:_10,145,cop_state,
annual,unnamed:_10,20664,cop_state,
annual,unnamed:_10,20.09,cop_state,
annual,unnamed:_10,50,cop_state,
annual,unnamed:_10,0.15,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_10,,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,Minnesota,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,15.46,cop_state,
annual,unnamed:_11,1.53,cop_state,
annual,unnamed:_11,0.52,cop_state,
annual,unnamed:_11,17.51,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,3.25,cop_state,
annual,unnamed:_11,4.28,cop_state,
annual,unnamed:_11,0.07,cop_state,
annual,unnamed:_11,7.6000000000000005,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,1.09,cop_state,
annual,unnamed:_11,0.3,cop_state,
annual,unnamed:_11,0.21,cop_state,
annual,unnamed:_11,0.3,cop_state,
annual,unnamed:_11,0.68,cop_state,
annual,unnamed:_11,0.61,cop_state,
annual,unnamed:_11,0,cop_state,
annual,unnamed:_11,0.18,cop_state,
annual,unnamed:_11,10.970000000000002,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,1.39,cop_state,
annual,unnamed:_11,3.7,cop_state,
annual,unnamed:_11,4.02,cop_state,
annual,unnamed:_11,0.04,cop_state,
annual,unnamed:_11,0.25,cop_state,
annual,unnamed:_11,0.68,cop_state,
annual,unnamed:_11,10.079999999999998,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,21.05,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,-3.539999999999999,cop_state,
annual,unnamed:_11,6.539999999999999,cop_state,
annual,unnamed:_11,       ,cop_state,
annual,unnamed:_11,       ,cop_state,
annual,unnamed:_11,89,cop_state,
annual,unnamed:_11,18943,cop_state,
annual,unnamed:_11,3.82,cop_state,
annual,unnamed:_11,15,cop_state,
annual,unnamed:_11,0.72,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_11,,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,Missouri,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,Dollars per cwt sold,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,14.59,cop_state,
annual,unnamed:_12,3.41,cop_state,
annual,unnamed:_12,0.5,cop_state,
annual,unnamed:_12,18.5,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,5.13,cop_state,
annual,unnamed:_12,1.98,cop_state,
annual,unnamed:_12,0.29,cop_state,
annual,unnamed:_12,7.3999999999999995,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,0.73,cop_state,
annual,unnamed:_12,0.13,cop_state,
annual,unnamed:_12,0.38,cop_state,
annual,unnamed:_12,0.16,cop_state,
annual,unnamed:_12,0.6,cop_state,
annual,unnamed:_12,0.74,cop_state,
annual,unnamed:_12,0,cop_state,
annual,unnamed:_12,0.17,cop_state,
annual,unnamed:_12,10.31,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,1.05,cop_state,
annual,unnamed:_12,5.38,cop_state,
annual,unnamed:_12,4.9,cop_state,
annual,unnamed:_12,0.19,cop_state,
annual,unnamed:_12,0.35,cop_state,
annual,unnamed:_12,0.36,cop_state,
annual,unnamed:_12,12.229999999999999,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,22.54,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,-4.039999999999999,cop_state,
annual,unnamed:_12,8.19,cop_state,
annual,unnamed:_12,       ,cop_state,
annual,unnamed:_12,       ,cop_state,
annual,unnamed:_12,101,cop_state,
annual,unnamed:_12,15170,cop_state,
annual,unnamed:_12,0.14,cop_state,
annual,unnamed:_12,8,cop_state,
annual,unnamed:_12,0,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_12,,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,New,cop_state,
annual,unnamed:_13,Mexico,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,13.8,cop_state,
annual,unnamed:_13,2.25,cop_state,
annual,unnamed:_13,0.46,cop_state,
annual,unnamed:_13,16.51,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,5.51,cop_state,
annual,unnamed:_13,0.87,cop_state,
annual,unnamed:_13,0.01,cop_state,
annual,unnamed:_13,6.39,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,0.51,cop_state,
annual,unnamed:_13,0,cop_state,
annual,unnamed:_13,0.36,cop_state,
annual,unnamed:_13,0.41,cop_state,
annual,unnamed:_13,0.29,cop_state,
annual,unnamed:_13,0.25,cop_state,
annual,unnamed:_13,0,cop_state,
annual,unnamed:_13,0.14,cop_state,
annual,unnamed:_13,8.350000000000001,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,1.41,cop_state,
annual,unnamed:_13,0.15,cop_state,
annual,unnamed:_13,1.1,cop_state,
annual,unnamed:_13,0,cop_state,
annual,unnamed:_13,0.09,cop_state,
annual,unnamed:_13,0.17,cop_state,
annual,unnamed:_13,2.92,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,11.270000000000001,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,5.24,cop_state,
annual,unnamed:_13,8.16,cop_state,
annual,unnamed:_13,       ,cop_state,
annual,unnamed:_13,       ,cop_state,
annual,unnamed:_13,2344,cop_state,
annual,unnamed:_13,16928,cop_state,
annual,unnamed:_13,64.11,cop_state,
annual,unnamed:_13,285,cop_state,
annual,unnamed:_13,0,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_13,,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,New,cop_state,
annual,unnamed:_14,York,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,15.91,cop_state,
annual,unnamed:_14,1.11,cop_state,
annual,unnamed:_14,0.55,cop_state,
annual,unnamed:_14,17.57,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,3.93,cop_state,
annual,unnamed:_14,4.83,cop_state,
annual,unnamed:_14,0.1,cop_state,
annual,unnamed:_14,8.86,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,0.8,cop_state,
annual,unnamed:_14,0.44,cop_state,
annual,unnamed:_14,0.23,cop_state,
annual,unnamed:_14,0.52,cop_state,
annual,unnamed:_14,0.75,cop_state,
annual,unnamed:_14,0.77,cop_state,
annual,unnamed:_14,0,cop_state,
annual,unnamed:_14,0.21,cop_state,
annual,unnamed:_14,12.58,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,1.75,cop_state,
annual,unnamed:_14,3.63,cop_state,
annual,unnamed:_14,3.6,cop_state,
annual,unnamed:_14,0.02,cop_state,
annual,unnamed:_14,0.28,cop_state,
annual,unnamed:_14,0.74,cop_state,
annual,unnamed:_14,10.02,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,22.6,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,-5.030000000000001,cop_state,
annual,unnamed:_14,4.99,cop_state,
annual,unnamed:_14,       ,cop_state,
annual,unnamed:_14,       ,cop_state,
annual,unnamed:_14,119,cop_state,
annual,unnamed:_14,18835,cop_state,
annual,unnamed:_14,5.35,cop_state,
annual,unnamed:_14,20,cop_state,
annual,unnamed:_14,0.4,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_14,,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,Ohio,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,15.54,cop_state,
annual,unnamed:_15,1.41,cop_state,
annual,unnamed:_15,0.44,cop_state,
annual,unnamed:_15,17.39,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,4.17,cop_state,
annual,unnamed:_15,3.32,cop_state,
annual,unnamed:_15,0.08,cop_state,
annual,unnamed:_15,7.57,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,1.01,cop_state,
annual,unnamed:_15,0.34,cop_state,
annual,unnamed:_15,0.26,cop_state,
annual,unnamed:_15,0.47,cop_state,
annual,unnamed:_15,0.56,cop_state,
annual,unnamed:_15,0.69,cop_state,
annual,unnamed:_15,0,cop_state,
annual,unnamed:_15,0.18,cop_state,
annual,unnamed:_15,11.08,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,1.36,cop_state,
annual,unnamed:_15,3.43,cop_state,
annual,unnamed:_15,3.68,cop_state,
annual,unnamed:_15,0.06,cop_state,
annual,unnamed:_15,0.22,cop_state,
annual,unnamed:_15,0.66,cop_state,
annual,unnamed:_15,9.410000000000002,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,20.490000000000002,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,-3.1000000000000014,cop_state,
annual,unnamed:_15,6.3100000000000005,cop_state,
annual,unnamed:_15,       ,cop_state,
annual,unnamed:_15,       ,cop_state,
annual,unnamed:_15,97,cop_state,
annual,unnamed:_15,17912,cop_state,
annual,unnamed:_15,2.6,cop_state,
annual,unnamed:_15,21,cop_state,
annual,unnamed:_15,0.43,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_15,,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,Oregon,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,15.64,cop_state,
annual,unnamed:_16,1.07,cop_state,
annual,unnamed:_16,0.69,cop_state,
annual,unnamed:_16,17.400000000000002,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,6.63,cop_state,
annual,unnamed:_16,1.83,cop_state,
annual,unnamed:_16,0.18,cop_state,
annual,unnamed:_16,8.64,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,0.67,cop_state,
annual,unnamed:_16,0.16,cop_state,
annual,unnamed:_16,0.21,cop_state,
annual,unnamed:_16,0.38,cop_state,
annual,unnamed:_16,0.57,cop_state,
annual,unnamed:_16,0.72,cop_state,
annual,unnamed:_16,0,cop_state,
annual,unnamed:_16,0.19,cop_state,
annual,unnamed:_16,11.540000000000003,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,1.97,cop_state,
annual,unnamed:_16,1.7,cop_state,
annual,unnamed:_16,2.33,cop_state,
annual,unnamed:_16,0.02,cop_state,
annual,unnamed:_16,0.19,cop_state,
annual,unnamed:_16,0.53,cop_state,
annual,unnamed:_16,6.74,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,18.28,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,-0.879999999999999,cop_state,
annual,unnamed:_16,5.859999999999999,cop_state,
annual,unnamed:_16,       ,cop_state,
annual,unnamed:_16,       ,cop_state,
annual,unnamed:_16,292,cop_state,
annual,unnamed:_16,18243,cop_state,
annual,unnamed:_16,5.95,cop_state,
annual,unnamed:_16,7,cop_state,
annual,unnamed:_16,5.36,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_16,,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,Pennsylvania,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,16.02,cop_state,
annual,unnamed:_17,1.17,cop_state,
annual,unnamed:_17,0.47,cop_state,
annual,unnamed:_17,17.659999999999997,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,4.1,cop_state,
annual,unnamed:_17,4.97,cop_state,
annual,unnamed:_17,0.12,cop_state,
annual,unnamed:_17,9.19,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,1.02,cop_state,
annual,unnamed:_17,0.56,cop_state,
annual,unnamed:_17,0.3,cop_state,
annual,unnamed:_17,0.56,cop_state,
annual,unnamed:_17,0.75,cop_state,
annual,unnamed:_17,0.76,cop_state,
annual,unnamed:_17,0,cop_state,
annual,unnamed:_17,0.22,cop_state,
annual,unnamed:_17,13.360000000000001,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,0.89,cop_state,
annual,unnamed:_17,4.22,cop_state,
annual,unnamed:_17,3.19,cop_state,
annual,unnamed:_17,0.05,cop_state,
annual,unnamed:_17,0.27,cop_state,
annual,unnamed:_17,0.63,cop_state,
annual,unnamed:_17,9.25,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,22.61,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,-4.950000000000003,cop_state,
annual,unnamed:_17,4.299999999999995,cop_state,
annual,unnamed:_17,       ,cop_state,
annual,unnamed:_17,       ,cop_state,
annual,unnamed:_17,85,cop_state,
annual,unnamed:_17,19069,cop_state,
annual,unnamed:_17,13.14,cop_state,
annual,unnamed:_17,19,cop_state,
annual,unnamed:_17,0.59,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_17,,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,Tennessee,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,16.04,cop_state,
annual,unnamed:_18,1.35,cop_state,
annual,unnamed:_18,0.64,cop_state,
annual,unnamed:_18,18.03,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,5.6,cop_state,
annual,unnamed:_18,4.47,cop_state,
annual,unnamed:_18,0.27,cop_state,
annual,unnamed:_18,10.34,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,0.73,cop_state,
annual,unnamed:_18,0.09,cop_state,
annual,unnamed:_18,0.26,cop_state,
annual,unnamed:_18,0.58,cop_state,
annual,unnamed:_18,0.87,cop_state,
annual,unnamed:_18,0.76,cop_state,
annual,unnamed:_18,0,cop_state,
annual,unnamed:_18,0.23,cop_state,
annual,unnamed:_18,13.86,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,1.97,cop_state,
annual,unnamed:_18,4.64,cop_state,
annual,unnamed:_18,5.73,cop_state,
annual,unnamed:_18,0.08,cop_state,
annual,unnamed:_18,0.24,cop_state,
annual,unnamed:_18,0.6,cop_state,
annual,unnamed:_18,13.26,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,27.119999999999997,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,-9.089999999999996,cop_state,
annual,unnamed:_18,4.170000000000002,cop_state,
annual,unnamed:_18,       ,cop_state,
annual,unnamed:_18,       ,cop_state,
annual,unnamed:_18,110,cop_state,
annual,unnamed:_18,14558,cop_state,
annual,unnamed:_18,1.44,cop_state,
annual,unnamed:_18,4,cop_state,
annual,unnamed:_18,0,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_18,,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,Texas,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,15.07,cop_state,
annual,unnamed:_19,1.2,cop_state,
annual,unnamed:_19,0.47,cop_state,
annual,unnamed:_19,16.74,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,7.18,cop_state,
annual,unnamed:_19,0.91,cop_state,
annual,unnamed:_19,0.16,cop_state,
annual,unnamed:_19,8.25,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,0.59,cop_state,
annual,unnamed:_19,0.14,cop_state,
annual,unnamed:_19,0.27,cop_state,
annual,unnamed:_19,0.46,cop_state,
annual,unnamed:_19,0.61,cop_state,
annual,unnamed:_19,0.43,cop_state,
annual,unnamed:_19,0,cop_state,
annual,unnamed:_19,0.18,cop_state,
annual,unnamed:_19,10.93,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,1.27,cop_state,
annual,unnamed:_19,1.29,cop_state,
annual,unnamed:_19,2.72,cop_state,
annual,unnamed:_19,0.02,cop_state,
annual,unnamed:_19,0.14,cop_state,
annual,unnamed:_19,0.35,cop_state,
annual,unnamed:_19,5.789999999999999,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,16.72,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,0.019999999999999574,cop_state,
annual,unnamed:_19,5.809999999999999,cop_state,
annual,unnamed:_19,       ,cop_state,
annual,unnamed:_19,       ,cop_state,
annual,unnamed:_19,403,cop_state,
annual,unnamed:_19,16708,cop_state,
annual,unnamed:_19,14.81,cop_state,
annual,unnamed:_19,43,cop_state,
annual,unnamed:_19,0.08,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_19,,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,Vermont,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,16.23,cop_state,
annual,unnamed:_20,1.11,cop_state,
annual,unnamed:_20,0.68,cop_state,
annual,unnamed:_20,18.02,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,4.29,cop_state,
annual,unnamed:_20,3.8,cop_state,
annual,unnamed:_20,0.17,cop_state,
annual,unnamed:_20,8.26,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,0.76,cop_state,
annual,unnamed:_20,0.37,cop_state,
annual,unnamed:_20,0.24,cop_state,
annual,unnamed:_20,0.4,cop_state,
annual,unnamed:_20,0.66,cop_state,
annual,unnamed:_20,0.5,cop_state,
annual,unnamed:_20,0,cop_state,
annual,unnamed:_20,0.19,cop_state,
annual,unnamed:_20,11.379999999999999,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,1.8,cop_state,
annual,unnamed:_20,2.98,cop_state,
annual,unnamed:_20,3.21,cop_state,
annual,unnamed:_20,0.06,cop_state,
annual,unnamed:_20,0.33,cop_state,
annual,unnamed:_20,1,cop_state,
annual,unnamed:_20,9.38,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,20.759999999999998,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,-2.7399999999999984,cop_state,
annual,unnamed:_20,6.640000000000001,cop_state,
annual,unnamed:_20,       ,cop_state,
annual,unnamed:_20,       ,cop_state,
annual,unnamed:_20,127,cop_state,
annual,unnamed:_20,17968,cop_state,
annual,unnamed:_20,6.78,cop_state,
annual,unnamed:_20,10,cop_state,
annual,unnamed:_20,2.44,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_20,,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,Virginia,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,16.43,cop_state,
annual,unnamed:_21,1.55,cop_state,
annual,unnamed:_21,0.6,cop_state,
annual,unnamed:_21,18.580000000000002,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,4.82,cop_state,
annual,unnamed:_21,4.74,cop_state,
annual,unnamed:_21,0.13,cop_state,
annual,unnamed:_21,9.690000000000001,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,1.18,cop_state,
annual,unnamed:_21,0.23,cop_state,
annual,unnamed:_21,0.33,cop_state,
annual,unnamed:_21,0.54,cop_state,
annual,unnamed:_21,0.66,cop_state,
annual,unnamed:_21,0.85,cop_state,
annual,unnamed:_21,0,cop_state,
annual,unnamed:_21,0.23,cop_state,
annual,unnamed:_21,13.710000000000003,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,1.96,cop_state,
annual,unnamed:_21,3.12,cop_state,
annual,unnamed:_21,4.01,cop_state,
annual,unnamed:_21,0.04,cop_state,
annual,unnamed:_21,0.3,cop_state,
annual,unnamed:_21,0.86,cop_state,
annual,unnamed:_21,10.29,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,24,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,-5.419999999999998,cop_state,
annual,unnamed:_21,4.869999999999999,cop_state,
annual,unnamed:_21,       ,cop_state,
annual,unnamed:_21,       ,cop_state,
annual,unnamed:_21,125,cop_state,
annual,unnamed:_21,18933,cop_state,
annual,unnamed:_21,5.86,cop_state,
annual,unnamed:_21,21,cop_state,
annual,unnamed:_21,0,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,,cop_state,
annual,unnamed:_21,,cop_state,
