year,category,data_item,value,units,period,unit
1996,January 1 inventory,"Replacement heifers, 500+ pounds",4090.3,Thousand head,annual,Thousand head
1996,January 1 inventory,Replacements per 100 cows,43.4,Head,annual,Head
1996,Production indicators,Milk production,154006.0,Million pounds,annual,Million pounds
1996,Production indicators,Milk per cow,16433.0,Pounds,annual,Pounds
1996,Production indicators,Average number of milk cows in the United States,9372.0,Thousand,annual,Thousand
1996,Milk and feed price indicators,Average price paid for milk,14.9,Dollar per hundredweight,annual,Dollar per hundredweight
1996,Milk and feed price indicators,Milk-feed ratio,2.44,Number,annual,Number
1996,Milk and feed price indicators,Dairy feed value,6.11,Dollar per hundredweight,annual,Dollar per hundredweight
1996,Dairy cow indicators,Dairy cow prices,1087.5,Dollars per head,annual,Dollars per head
1996,Dairy cow indicators,Milk volume required to buy a cow,7299.0,Pounds,annual,Pounds
1996,Other indicators,Alfalfa hay price received by farmers,95.03,Dollars per ton,annual,Dollars per ton
1996,Other indicators,Slaughter cow price,33.0,Dollar per hundredweight,annual,Dollar per hundredweight
1997,January 1 inventory,Milk cows and heifers that have calved,9317.9,Thousand head,annual,Thousand head
1997,January 1 inventory,"Replacement heifers, 500+ pounds",4058.4,Thousand head,annual,Thousand head
1997,January 1 inventory,Replacements per 100 cows,43.6,Head,annual,Head
1997,Production indicators,Milk production,156091.0,Million pounds,annual,Million pounds
1997,Production indicators,Milk per cow,16871.0,Pounds,annual,Pounds
1997,Production indicators,Average number of milk cows in the United States,9252.0,Thousand,annual,Thousand
1997,Milk and feed price indicators,Average price paid for milk,13.3,Dollar per hundredweight,annual,Dollar per hundredweight
1997,Milk and feed price indicators,Milk-feed ratio,2.38,Number,annual,Number
1997,Milk and feed price indicators,Dairy feed value,5.59,Dollar per hundredweight,annual,Dollar per hundredweight
1997,Dairy cow indicators,Dairy cow prices,1097.5,Dollars per head,annual,Dollars per head
1997,Dairy cow indicators,Milk volume required to buy a cow,8252.0,Pounds,annual,Pounds
1997,Other indicators,Alfalfa hay price received by farmers,110.69,Dollars per ton,annual,Dollars per ton
1997,Other indicators,Slaughter cow price,36.93,Dollar per hundredweight,annual,Dollar per hundredweight
1998,January 1 inventory,Milk cows and heifers that have calved,9199.0,Thousand head,annual,Thousand head
1998,January 1 inventory,"Replacement heifers, 500+ pounds",3985.7,Thousand head,annual,Thousand head
1998,January 1 inventory,Replacements per 100 cows,43.3,Head,annual,Head
1998,Production indicators,Milk production,157262.0,Million pounds,annual,Million pounds
1998,Production indicators,Milk per cow,17185.0,Pounds,annual,Pounds
1998,Production indicators,Average number of milk cows in the United States,9151.0,Thousand,annual,Thousand
1998,Milk and feed price indicators,Average price paid for milk,15.5,Dollar per hundredweight,annual,Dollar per hundredweight
1998,Milk and feed price indicators,Milk-feed ratio,3.34,Number,annual,Number
1998,Milk and feed price indicators,Dairy feed value,4.64,Dollar per hundredweight,annual,Dollar per hundredweight
1998,Dairy cow indicators,Dairy cow prices,1120.0,Dollars per head,annual,Dollars per head
1998,Dairy cow indicators,Milk volume required to buy a cow,7226.0,Pounds,annual,Pounds
1998,Other indicators,Alfalfa hay price received by farmers,94.28,Dollars per ton,annual,Dollars per ton
1998,Other indicators,Slaughter cow price,35.54,Dollar per hundredweight,annual,Dollar per hundredweight
1999,January 1 inventory,Milk cows and heifers that have calved,9128.0,Thousand head,annual,Thousand head
1999,January 1 inventory,"Replacement heifers, 500+ pounds",4068.8,Thousand head,annual,Thousand head
1999,January 1 inventory,Replacements per 100 cows,44.6,Head,annual,Head
1999,Production indicators,Milk production,162589.0,Million pounds,annual,Million pounds
1999,Production indicators,Milk per cow,17763.0,Pounds,annual,Pounds
1999,Production indicators,Average number of milk cows in the United States,9153.0,Thousand,annual,Thousand
1999,Milk and feed price indicators,Average price paid for milk,14.4,Dollar per hundredweight,annual,Dollar per hundredweight
1999,Milk and feed price indicators,Milk-feed ratio,3.59,Number,annual,Number
1999,Milk and feed price indicators,Dairy feed value,4.01,Dollar per hundredweight,annual,Dollar per hundredweight
1999,Dairy cow indicators,Dairy cow prices,1287.5,Dollars per head,annual,Dollars per head
1999,Dairy cow indicators,Milk volume required to buy a cow,8941.0,Pounds,annual,Pounds
1999,Other indicators,Alfalfa hay price received by farmers,82.26,Dollars per ton,annual,Dollars per ton
1999,Other indicators,Slaughter cow price,37.28,Dollar per hundredweight,annual,Dollar per hundredweight
2000,January 1 inventory,Milk cows and heifers that have calved,9182.8,Thousand head,annual,Thousand head
2000,January 1 inventory,"Replacement heifers, 500+ pounds",3999.8,Thousand head,annual,Thousand head
2000,January 1 inventory,Replacements per 100 cows,43.6,Head,annual,Head
2000,Production indicators,Milk production,167393.0,Million pounds,annual,Million pounds
2000,Production indicators,Milk per cow,18197.0,Pounds,annual,Pounds
2000,Production indicators,Average number of milk cows in the United States,9199.0,Thousand,annual,Thousand
2000,Milk and feed price indicators,Average price paid for milk,12.3,Dollar per hundredweight,annual,Dollar per hundredweight
2000,Milk and feed price indicators,Milk-feed ratio,3.05,Number,annual,Number
2000,Milk and feed price indicators,Dairy feed value,4.03,Dollar per hundredweight,annual,Dollar per hundredweight
2000,Dairy cow indicators,Dairy cow prices,1342.5,Dollars per head,annual,Dollars per head
2000,Dairy cow indicators,Milk volume required to buy a cow,10915.0,Pounds,annual,Pounds
2000,Other indicators,Alfalfa hay price received by farmers,83.88,Dollars per ton,annual,Dollars per ton
2000,Other indicators,Slaughter cow price,40.08,Dollar per hundredweight,annual,Dollar per hundredweight
2001,January 1 inventory,Milk cows and heifers that have calved,9171.7,Thousand head,annual,Thousand head
2001,January 1 inventory,"Replacement heifers, 500+ pounds",4057.0,Thousand head,annual,Thousand head
2001,January 1 inventory,Replacements per 100 cows,44.2,Head,annual,Head
2001,Production indicators,Milk production,165332.0,Million pounds,annual,Million pounds
2001,Production indicators,Milk per cow,18162.0,Pounds,annual,Pounds
2001,Production indicators,Average number of milk cows in the United States,9103.0,Thousand,annual,Thousand
2001,Milk and feed price indicators,Average price paid for milk,15.0,Dollar per hundredweight,annual,Dollar per hundredweight
2001,Milk and feed price indicators,Milk-feed ratio,3.39,Number,annual,Number
2001,Milk and feed price indicators,Dairy feed value,4.42,Dollar per hundredweight,annual,Dollar per hundredweight
2001,Dairy cow indicators,Dairy cow prices,1502.5,Dollars per head,annual,Dollars per head
2001,Dairy cow indicators,Milk volume required to buy a cow,10017.0,Pounds,annual,Pounds
2001,Other indicators,Alfalfa hay price received by farmers,102.41,Dollars per ton,annual,Dollars per ton
2001,Other indicators,Slaughter cow price,44.78,Dollar per hundredweight,annual,Dollar per hundredweight
2002,January 1 inventory,Milk cows and heifers that have calved,9105.6,Thousand head,annual,Thousand head
2002,January 1 inventory,"Replacement heifers, 500+ pounds",4054.8,Thousand head,annual,Thousand head
2002,January 1 inventory,Replacements per 100 cows,44.5,Head,annual,Head
2002,Production indicators,Milk production,170063.0,Million pounds,annual,Million pounds
2002,Production indicators,Milk per cow,18608.0,Pounds,annual,Pounds
2002,Production indicators,Average number of milk cows in the United States,9139.0,Thousand,annual,Thousand
2002,Milk and feed price indicators,Average price paid for milk,12.1,Dollar per hundredweight,annual,Dollar per hundredweight
2002,Milk and feed price indicators,Milk-feed ratio,2.6,Number,annual,Number
2002,Milk and feed price indicators,Dairy feed value,4.65,Dollar per hundredweight,annual,Dollar per hundredweight
2002,Dairy cow indicators,Dairy cow prices,1605.0,Dollars per head,annual,Dollars per head
2002,Dairy cow indicators,Milk volume required to buy a cow,13264.0,Pounds,annual,Pounds
2002,Other indicators,Alfalfa hay price received by farmers,101.3,Dollars per ton,annual,Dollars per ton
2002,Other indicators,Slaughter cow price,40.09,Dollar per hundredweight,annual,Dollar per hundredweight
2003,January 1 inventory,Milk cows and heifers that have calved,9141.7,Thousand head,annual,Thousand head
2003,January 1 inventory,"Replacement heifers, 500+ pounds",4113.9,Thousand head,annual,Thousand head
2003,January 1 inventory,Replacements per 100 cows,45.0,Head,annual,Head
2003,Production indicators,Milk production,170348.0,Million pounds,annual,Million pounds
2003,Production indicators,Milk per cow,18759.0,Pounds,annual,Pounds
2003,Production indicators,Average number of milk cows in the United States,9081.0,Thousand,annual,Thousand
2003,Milk and feed price indicators,Average price paid for milk,12.5,Dollar per hundredweight,annual,Dollar per hundredweight
2003,Milk and feed price indicators,Milk-feed ratio,2.61,Number,annual,Number
2003,Milk and feed price indicators,Dairy feed value,4.79,Dollar per hundredweight,annual,Dollar per hundredweight
2003,Dairy cow indicators,Dairy cow prices,1342.5,Dollars per head,annual,Dollars per head
2003,Dairy cow indicators,Milk volume required to buy a cow,10740.0,Pounds,annual,Pounds
2003,Other indicators,Alfalfa hay price received by farmers,94.03,Dollars per ton,annual,Dollars per ton
2003,Other indicators,Slaughter cow price,42.99,Dollar per hundredweight,annual,Dollar per hundredweight
2004,January 1 inventory,Milk cows and heifers that have calved,8987.5,Thousand head,annual,Thousand head
2004,January 1 inventory,"Replacement heifers, 500+ pounds",4018.0,Thousand head,annual,Thousand head
2004,January 1 inventory,Replacements per 100 cows,44.7,Head,annual,Head
2004,Production indicators,Milk production,170832.0,Million pounds,annual,Million pounds
2004,Production indicators,Milk per cow,18960.0,Pounds,annual,Pounds
2004,Production indicators,Average number of milk cows in the United States,9010.0,Thousand,annual,Thousand
2004,Milk and feed price indicators,Average price paid for milk,16.1,Dollar per hundredweight,annual,Dollar per hundredweight
2004,Milk and feed price indicators,Milk-feed ratio,3.1,Number,annual,Number
2004,Milk and feed price indicators,Dairy feed value,5.19,Dollar per hundredweight,annual,Dollar per hundredweight
2004,Dairy cow indicators,Dairy cow prices,1582.5,Dollars per head,annual,Dollars per head
2004,Dairy cow indicators,Milk volume required to buy a cow,9829.0,Pounds,annual,Pounds
2004,Other indicators,Alfalfa hay price received by farmers,95.13,Dollars per ton,annual,Dollars per ton
